Module Name,Associated Masters,Purpose,Associated Reports
42. Outside Labour Entry (Labour +Parts),"Vendor Master - State, City, Area, Zip Code, Bank, GST Type, Service Specialist - Denting/Painting/AC/Electrical & Wiring/Engine/Transmission/Upholstery/Washing/Detailing/Car Spa/Gear Box
Vendor Type - Service Provider, Contractor
Job card reference
Department, Employee (advisor/technician)
Inventory & Price List (vendor)- Spares/Labours -
HSN & Tax Rate
Loss Reason - Damaged/Defective
Transport & Shipping - Courier /Porter/Liftor
Outside Work Order Reference
Attachment Type - Invoice/Quote/Work Order/Report/Before Photos/After Photos
",Enter outside labor details in system (parts + labor) against physical invoice.,Outside Labour Regtister
43. Outside Labour Return (Request/Response),Vendor Master,Record return/rework for outside labor (repeat job/warranty).,Outside Labour Return Regtister
44. Outside Labour Credit Note/Debit Note,Vendor Master,Credit/Debit note entry for outside labor returns/adjustments.,Outside Labour Return Regtister
45. Parts Receive & Verfication,"Vendor Master, Spares Master","Receive vendor parts, verify against PO, mark QC done.",Purchase Report
46. Parts Hand over,Employee (Tech) Master,Handover received parts to technician and capture timestamp.,Purchase Report
47. Challan Entry,"Purchase Type - Stock Purchase, Direct Job Card Purchase, Outside Labour Purchase, Emergency Purchase
Vendor
Transport Mode - Self, Workshop Driver, Courier, Porter, Liftor…
Transport Company
Challan Reason - Warranty, Damage & Adjustment
PO Reference
Job Card Reference
Department
Employee (Advisor/Technician/Store In Charge/Driver)
Inventory/Spares
HSN & Tax Rate
UOM (Unit of Measure)
Discount Scheme - Line Discount, Bill Discount, Cash Discount, Scheme Discount
Material Condition - New, Used, Damaged, Repairable, Scrap
Raise Issue/Rejection Reason - Damaged, Wrong Part, Excess Quantity, Quality Issue, Expired, Rate difference
Additional Charges - Freight, P&F, Courier, Loading, Insurance, Deposit (Cylinder), Other…
Notification Master - Material Received (Store In Charge/Advisor/Floor In Charge)
Inventory Status - Spares Received, Spares Dispatched, Spares In Transit, Spares Not Received, Partially Received, Fully Received, Escalated, Closed, Cancelled, Other…
Invoice Status - Invoice Received/Invoice Pending (Item wise)
Attachment Type - PDF/Image
","Part entry via challan (barcode scanning), warranty/guarantee mapping.",Challan Report
48. Purchase Entry,"Vendor
Invoice Type - Tax Invoice/E-Invoice/Retail Invoice/Bill Of Supply
Purchase Type - Stock Purchase, Direct Job Card Purchase, Outside Labour Purchase, Emergency Purchase,
Challan Reference
Transport Mode - Self, Workshop Driver, Courier, Porter, Liftor…
Transport Company
Challan Reason - Warranty, Damage & Adjustment
PO Reference
Job Card Reference
Department
Employee (Advisor/Technician/Store In Charge/Driver)
Inventory/Spares
HSN & Tax Rate
UOM (Unit of Measure)
Discount Type - Line Discount, Bill Discount, Cash Discount, Scheme Discount
Material Condition - New, Used, Damaged, Repairable, Scrap
Raise Dispute/Rejection Reason - Damaged, Wrong Part, Excess Quantity, Quality Issue, Expired, Rate difference
Additional Charges - Freight, P&F, Courier, Loading, Insurance, Deposit (Cylinder), Other…
Notification Master - Material Received (Store In Charge/Advisor/Floor In Charge)
Inventory Status - Spares Received, Spares Dispatched, Spares In Transit, Spares Not Received, Partially Received, Fully Received, Escalated, Closed, Cancelled, Other…
Invoice Status - Invoice Received/Invoice Pending (Item wise)
Attachment Type - PDF/Image
","Full purchase invoice entry, updates stock, maps HSN/tax rate.","Purchase Report, Stock Ledger"
49. Proforma,"Proforma Number Series
Department
Service Type
Insurance Company
Customer
Customer Vehicle
Job Card Reference
Estimate Reference
Issue type - Standard/Loss
Loss Reason - Damaged/Defective/Date expired/Leakage/Other…
Inventory - Spares/Labour Master
Service Package
UOM
HSN & Tax Rate
Raise Issue/Rejection Reason - Damaged, Wrong Part, Excess Quantity, Quality Issue, Expired, Rate difference
Discount Types - Line Discount, Scheme Discount (Package/Combo Offers), Cash Discount
Employee (Advisor/Technician/Store In Charge)
Vendor (Service Contractor/Outsource Vendor)
Approval Authority - Store Executive (Prepared By), Store In Charge, Service Advisor, Workshop Manager/Admin/Owner, Customer, Insurance company
Approval Status - Pending, Approved, Partially Approved, Rejected, On Hold, Under Review
Communication Mode - WhatsApp, Email, Physical Signature
Recommended Service
Revision Reason (After Proforma ready & final Post) - Additional Damage, Price Revision, Billing Name Revision, Insurance Query
Attachment Type - PDF/Image (Inspection Report)
Proforma Status - Draft, WIP, Ready, Sent to Customer, Sent to Insurance Company, Under Review, Approved, Rejected, Converted to Invoice, Cancelled
","Generate proforma, parts issue via barcode, track profitability.","Proforma Report, P&L Report"
49. Proforma History,"Spares Master, Employee Master",Authorized secure viewing of past proforma purchase details and P&L.,Proforma Report
50. Consumable,"Consumable Category - Paint Shop Consumables (Primer/Hardener…), Workshop Consumables (Grease/Brake Cleaner/WD-40...), Washing Consumables,  Detailing Consumables (Ceramic Coating, Interior Cleaning, Dashboard Polish…), General Consumables (Cotton Waste/Cleaning Cloth/Gloves…)
Job Card Reference
Purchase Reference (Challan/Direct Purchase)
Issue type - Standard/Loss
Loss Reason - Damaged/Defective/Date expired/Leakage/Other…
Inventory - Spares/Labour (to maintain labour loss)
HSN & Tax Rate
UOM (Unit of Measure)
Approval Authority - Store Manager/Service Advisor/Workshop Manager/Admin/Owner
Approval Status - Requested/Approved/Rejected/On Hold
Communication Mode - WhatsApp, Email, Physical Signature
Department
Employee (Advisor/Technician/Store In Charge)
Vendor (Service Contractor/outsource vendor)
","Track consumables usage (paint ML to GM, VA) and auto-deduct.",Consumable Report
51. Goods Return Note (Request/Response),"Vendor Master, Spares Master","Return excess, incorrect, defective, or warranty parts to vendor.",Purchase Return Report
52. Goods Return - Credit Note,"Vendor
Logistics / Transport
Credit Note Type - E-Credit Note, Tax Credit Note, Bill of Supply
Credit Note Reason - Excess Qty, Wrong Material Order, Wrong Material Supplied, Poor Quality, Damage, Defective, wrong rate, Wrong Discount, Credit Adjustment, Technical Failure,
Goods Return Note (Request/Response) Reference
Purchase Reference
Inventory - Spares
HSN & Tax Rate
UOM
Material Condition - New, Used, Unused, Open Box
Attachment Type - PDF/Image
",Vendor credit note entry for returned parts (RTS settlement).,Purchase Return Report
53. Goods Return - Debit Note,Vendor Master,Debit note entry for returned parts (issued by customer/workshop).,Purchase Return Report
54. Final Inspection,"Inspection Group
Inspection Checkpoint
Category Template
Inspection (Checklist prepared by technician) Reference - specially needed if any check points missed by technician
Work Completion Type - Fully Completed, Partially Completed, Deferred
Final Inspection Status - pending, In Progress, On Hold, Completed, Rework, Cancelled, Not Applicable
Rework Reason - Parts Poor Quality, Labour Poor Quality, Incomplete Work, Missed Task, Customer Complaint, Supervisor Instruction/Feedback
Additional Work Recommendation - New Issue Found, Additional Parts Required, Additional Labour Required
Time Tracking - Start Time, End Time, (Pause/Break Time)
Photo / Evidence - Before Work, After Work, Damage Proof
Observation - Standard comments for faster entry - Brake pads worn out/Oil leakage/Minor scratch
Inspection Result - OK/Good/Excellent/Average/Poor/Critical/Not OK/Faulty/Repair/Replace/Not Checked, NA (Not Applicable)
Recommendation - No Action Required, Repair, Replace, Monitor, Urgent Attention
","Quality check, test drive, photo comparison before vehicle delivery.",Final Inspection Report
55. Proforma Approval,Employee (Admin) Master,"Digital approval by Admin for proforma amounts > 25,000.",Proforma Report
56. Delivery Order (Do),Insurance Master,Record DO from insurance company before delivery (file attachment).,Delivery Order Report
57. Regular Sales Invoice,"Invoice Series - MQ/27-27/….
Customer
Customer Vehicle
Inventory - Spares/Labour
UOM
Service Package
AMC Package
HSN & Tax Rate
Payment Status - Unpaid/Partially Paid/Fully Paid/Refunded
Department
Employee - Advisor/Technician
Vendor
Invoice Status - Cancelled, CN
Invoice Cancellation Reason - Duplicate Invoice, Wrong Tax
Service Recommendation
","Generate final invoice (regular/insurance), calculate tax, gross margin.","Sales Report, E-Invoice Report"
58. Counter Sales Invoice,"Invoice Series - MQ/CS/27-27/….
Customer
Courier / Transport Company
Delivery Type - Counter Pickup, Home Delivery, Courier, Porter, Liftor
Inventory - Spares/Labour
UOM
HSN & Tax Rate
Payment Status - Unpaid/Partially Paid/Fully Paid/Refunded
Department
Employee - Advisor/Technician
Vendor
Invoice Status - Cancelled, CN
Invoice Cancellation Reason - Duplicate Invoice, Wrong Tax
Recommendation
",Generate invoice for counter sales (parts only) and track gross margin.,Sales Report
59. Invoice Correction Approval (Request/Response),Job Card Cancel Reason Master,Admin approval workflow for editing/correcting invoice or receipt.,Invoice Correction Report
60. Excess stock Approval,"Spares Master, Employee Master",Admin approval for returning or adjusting excess stock.,Excess Stock Report
61. Sales Return Approval (Reuest/Response) - Regular/Ins./Counter,,,
61. Sales Return - Regular/Ins./Counter,"Sales Return Reason - Manufacturing Defect, Damaged Material, Wrong Billing Name, Wrong Rate, Wrong Quantity, Wrong GST, Product Failure, Poor Quality, Warranty Claim, Duplicate Billing
Sales Return Series - MQ/SR/25-26/0026, MQ/IR/25-26/0026, MQ/CR/25-26/0026
Sales Invoice Reference - Whole bill/Item wise
Customer
Customer Vehicle
Insurance Company
Inventory - Spares/Labour
UOM
HSN & Tax Rate
Service Package
AMC Package
Department
Employee - Advisor/Technician
Vendor
Refund Status - Unpaid, Fully Refunded, Partially Refunded
Return Cancellation Reason - Wrong Billing Name, Wrong Rate, Wrong Quantity
",Handle sales return across all sales types and update stock.,Sales Return Report
62. Regular Receipt,"Receipt Series - MQ/RR/26-27/0708
Customer
Insurance Company
Payment Mode - Cash, Cheque, Demand Draft, NEFT, RTGS, IMPS, UPI (PayU, PhonePe, Paytm, GPay, Bhim), Credit Card, Debit Card, Razorpay,
Bank
Employee - Received By
Advance Receipt Reference
Cheque Status - Received, Deposited, Cleared, Returned, Cancelled
Cheque Bounce Reason - Insufficient Funds, Signature Mismatch, Stale Cheque, Account Closed
Receipt Cancellation Reason - Cheque Return, Duplicate Entry, Wrong Customer, Wrong Amount, Payment Failed
Receipt Difference Reason - Short Payment, Bank Charges Deducted, Settlement Difference, Excess Payment
Attachment Type - Cheque Copy, UTR Screenshot, Deposit Slip, Payment Advice
",Record customer payment and auto-redirect to gate pass.,Receipt Report
63. Receipt Refund,Customer Master,Refund customer overpayment or against sales return.,Payment Report
64. Regular Payment,"Employee - Paid By
Vendor
Advance Payment Reference
Invoice Reference
Payment Mode - Cash, Cheque, NEFT, RTGS, IMPS, UPI (PayU, PhonePe, Paytm, GPay, Bhim), Credit Card, Debit Card, Razorpay,
Bank
Cheque Status - Issued, Cleared, Returned/Bounced, Cancelled
Cheque Bounce Reason - Insufficient Funds, Signature Mismatch, Stale Cheque
Payment Cancellation Reason - Cheque Return, Duplicate Entry, Wrong Vendor, Wrong Amount, Payment Failed
Payment Hold Reason - Invoice Dispute, Quality Issue, Management Hold
Attachment Type - Cheque Copy, UTR Screenshot, Payment Advice
",Record payment to vendor (month-wise bulk processing).,"Payment Report, Vendor Account Statement"
65. Payment Refund,Vendor Master,"Vendor refunds money (excess payment, incorrect invoice, VPO cancelled).",Payment Report
66. Gate Pass Approval,Employee (Admin) Master,Admin approval for gate pass generation without payment/bill.,Gate Pass Report
67. Gate Pass,"Gate Pass Type - Final Delivery, Trial Outward, Vendor Repair Outward, Branch Transfer. Note: Spare Parts Return (GRN), External Repair,
Job Card Reference/Sales Invoice Reference
Customer Vehicle
Employee (Prepared By)
Driver Type/Delivery By - Customer, Workshop Driver, Service Advisor, Technician,
Payment Clearance - Fully Paid, Partially Paid, Credit Approved
",Generate gate pass for Work Pending or Final Delivery.,Gate Pass Report
68. Vehicle Outward,Vehicle Master,"Record actual vehicle exit via number plate reading, capture image.",Inward/Outward Register
69. Customer Warranty Claim Processing,"Customer Master, Spares Master","Handle customer warranty claim, tracking and admin approvals.",Repeat job Analysis Report
70. Vendor warranty claims Processing,"Vendor Master, Spares Master",Track vendor settlements and approvals for warranty claims.,Vendor analysis report
71. Customer complaints,"Job Card, Employee Master",Register and track resolution of customer or internal complaints.,Customer complaint Report
72. Customer Feedback/Service Rating,Customer Master,Capture post-service rating (1-5) and feedback from customers.,Customer Feedback
73. Advisor Feedback/Advisor Rating,"Employee Master, Customer Master",Capture advisor specific rating and feedback.,Advisor Feedback
74. Service Due Follow-Ups,"Vehicle Master, Customer Master",Follow-ups and tracking for upcoming scheduled services.,Service Due Follow-Up Report
75. Sales Inquiry (Parts/Service),Customer Master,Capture customer inquiry for service/parts via web/phone/app.,Sales Inquiry Report
76. Sales Inquiry Follow-Ups,Employee Master,Tracking follow-ups for sales inquiries.,Sales Inquiry Follow-Up Report
77. Ins. Policy Renewal Follow-Ups,Insurance Master,Tracking follow-ups for upcoming insurance policy renewals.,Ins. Policy Renewal Due Follow-Up Report
78. Insurance Renewal (or Policy entry without renewal),Insurance Master,Record new or renewed insurance policy details and attachments.,Insurance Renewal Report
79. Service Recommended Follow-Ups,Job Card,Follow-ups based on technician recommended future services.,Service Recommended Follow-Up Report
80. Combo Service Package / Vehicle Amc,Service Master,"Manage AMC packages, included services, and expiry dates.",Combo Service / AMC Service Due Follow Up Report
81. AMC Service Due Follow-Ups,"Vehicle Master, Customer Master",Reminders and tracking for AMC due services.,AMC Service Due Follow Up Report
82. Service Refer,Customer Master,Track customer referrals and combo offers.,N/A
83. Stock Counting (Physical & System Stock Verification),"Inventory Master, Spares Master","Verify physical vs system stock, track mismatch, loss, and excess via barcode.",Stock counting report
84. System Control,"Employee
Role - Administrator, HR, Workshop Manager, Service Advisor, Service Manager/Floor In Charge, Technician, Store Manager, Parts Manager, Store Executive, Accounts Executive, Accounts Manager, Bodyshop Executive, Bodyshop Manager, Security Guard (Gate),
Permission - View, Add, Edit, Delete, Print, Export, Cancel
Module Reference - Appointment, Pickup/Drop, Inward/Outward, Job Card etc.
Sub-Module Reference - Job History, Vehicle history, Invoice History, Invoice Detail History etc.
Menu Order (Sequence)
Approval Matrix - Proforma Amt > 25K, Stock Purchase Order Amt > 25K, Advance Receipt @....%, Stock Excess @....%
Notification Type - Text SMS, WhatsApp, Email, Push Notification
Dashboard Widget - Today's Appointments, Pending Job Cards, Outstanding Receivables…
Report Access - Financial Reports, Workshop Reports, Inventory Reports
Export Permission - Excel, CSV, PDF,
Financial Year - Active Financial Year, Year Closing, Period Locking
Transaction Lock - Backdated Entry Lock, Closed Period Lock, Future Date Restriction
Password Policy - Minimum Length, Complexity Rules, Password Expiry,
Login Security - Failed Login Limit, Account Lock Duration, Session Timeout, IP Restriction
IP Whitelist - Allowed IP Range, Blocked IP Range
Backup Policy/Schedule - Daily, Weekly/Specific time
Mobile App Permission - Dashboard, Attendance, Job Card, Estimate Approval etc
","Assign user roles, permissions, hide modules for unauthorized users.",Log Report
85. Security,None,"Module locks, IP whitelisting, session enforcement, out-of-hours alerts.",Log Report
86. User Logs,"Log Type - Login Log, Logout Log, Session Log, Transaction Log, Approval Logs, Output Logs (Print/Export/Download), System Log
Employee
Module & Sub-Module Reference
Action Type - Create, Modify, Delete, Restore, Approve, Reject, Print, Export, Download, View
Record Change Reason - Customer Request, Correction, Management Approval
Approval Action - Approved, Rejected
Login Failure Reason - Wrong Password, User Disabled, Account Locked, IP Restricted
Device Type - Desktop, Laptop, Mobile, Tablet
Browser - Chrome, Edge, Firefox, Safari
Operating System - Windows, Android, iOS, Linux
Audit Trail - Old Value, New Value, User, Date Time, Reference No., IP Address
","Track user activity (add/edit/delete), login sessions, and IP addresses.",Log Report
87. SMS Integration,"SMS Template
SMS Category - Transactional, Service Due Reminder, Outstanding Reminder, Campaign/Marketing,
SMS Recipient Group - Customers, Vendors, Employees (Advisors/Technicians etc), Insurance Companies, Management,
SMS Preference - Receive, DND, Promotional SMS Allowed, Service/Transactional SMS Only
SMS Queue - Queued, Processing, Sent, Failed
SMS Delivery Status - Sent, Delivered, Failed,
SMS Failure Reason - Invalid Mobile Number, Network Error, Gateway Error, Template Rejected, DLT Rejection
SMS Scheduling - Immediate, Custom, Recurring
SMS Campaign Types - Festival Greeting, Monsoon Awareness, Winter Awareness
SMS Credit - Package Credits, Used Credits, Credit Balance
SMS Dashboard - SMS Sent Today, Delivery Rate, Failure Rate, Pending SMS, Credit Balance
","Automated and manual SMS, WhatsApp, Email triggers across the ERP workflow.",Log Report
88. Accounting,Accounts Master,"Manage financials, GST (GSTR-1, 2B, 3B), bank, expenses, assets, trial balance.","GST Reports, Expense Report, Cash/Credit report"
90. Smart Salary,"Employee
Department
Designation - Service Advisor, Technician, Helper, Floor In Charge, Parts Manager, Accounts Executive
Employee Category  - Permanent, Probation, Apprentice
Service Contractor
Salary Structure - Basic Salary, HRA, Conveyance, Medical Allowance, Special Allowance
Salary Deductions - PF, ESI, Professional Tax, TDS, Loan Recovery
Attendance Policy - Late Coming Rules, Early Leaving Rules, Grace Time, Half Day Rules
Holiday - Sunday, National Holiday, Festival Holiday, Company Holiday
Leave Type - Casual Leave, Sick Leave, Earned Leave, Maternity Leave, Leave Without Pay
Leave Policy - Annual Entitlement, Carry Forward, Encashment Rules
Positive Point Achievement - Job Card data fillup, Customer T&C Approval, Digital Inspection, Estimate Approval, Billing Ratio - 70/30, Ontime Delivery, TAT, Customer Feedback/Rating (Dissatisfied/Happy), Attendance & Puntuation, Uniform, Cross Sales/Upsale, Proforma Approval, Advance Payment, Service Due Followups, Recommended Servicce Followups, Final Inspection, Discipline/Dedication/Commitment, Loyal, Feedback, Back Order,
Negative Point Achievement - Repeat Job/Warranty Claim, Loss/Damage, Job Cancel, Sales Return (RS/CS/IS), Invoice Correction, Excess Stock, Unnecessary Leave,
Performance/Productivity Slab - Eg Slab1 (80%) @ Rs 100, Slab2 (90%) @ RS 200, Slab3 (100%) @ Rs 300
Employee Grade - Grade A, Grade B, Grade C.
Incentive Policy - Labour Sales, Parts Sales, Customer Satisfaction, Efficiency
Loan Type - Advance Salary, Emergency Loan etc
Bank
Payment Mode
Dashboard
","Performance-based salary, KPI tracking, upsell points, and deductions.",Attendance& Payroll Report
91. Customer Mobile App (Android/IOS),"Customer Master, Vehicle Master","Mobile interface for customers to book appointments, track service, and view bills.",App Usage/All Reports
92. Complaint Register - Internal Work Order/Request/Resonse,"Employee
Department
Designation - Service Advisor, Technician, Floor In Charge, Parts Manager
Employee Category  - Permanent, Probation, Apprentice
Service Contractor
Salary Structure - Basic Salary, HRA, Conveyance, Medical Allowance, Special Allowance
Salary Deductions - PF, ESI, Professional Tax, TDS, Loan Recovery
Attendance Policy - Late Coming Rules, Early Leaving Rules, Grace Time, Half Day Rules
Holiday - Sunday, National Holiday, Festival Holiday, Company Holiday
Leave Type - Casual Leave, Sick Leave, Earned Leave, Maternity Leave, Leave Without Pay
Loan Type - Advance Salary, Emergency Loan etc
Bank
Payment Mode
Technician KPIs - Labour Hours Achieved, Labour Sales,
Service Advisor KPIs - Labour Sales, Estimate Approval, Customer Satisfaction, Vehicle Delivery Ontime
Store Team KPIs - Parts Profit, Inventory Accuracy, Parts Availability Rate, Dead Stock Reduction
Point Allocation - Labour Target Achieved Slab A @ 50 Points, Labour Target Achieved Slab B @ 100 Points, Labour Target Achieved Slab C @ 200 Points, Customer Satisfaction 95%+ @ 100 points, Customer Satisfaction 90%-94% @ 75 points, Customer Satisfaction 80%-89% @ 50 points. Note: Value Added Services Productivity, Labour Productivity, Parts Productivity, Job Card data fillup, Customer T&C Approval, Digital Inspection, Estimate Approval, Billing Ratio - 70/30, Ontime Delivery, TAT, Customer Feedback/Rating (Dissatisfied/Happy), Attendance & Puntuation, Uniform, Cross Sales/Upsale, Proforma Approval, Advance Payment, Service Due Followups, Recommended Servicce Followups, Final Inspection, Discipline/Dedication/Commitment, Loyal, Feedback, Back Order,
Point Deduction - Late Coming @ -5, Half Day Leave @ -10, Unauthorized Leave @ -25, Repeat Job @ -30, Customer Complaint @ -20, Vehicle Damage @ -100. Note: Misconduct, Policy Violation, Misbehaviour, Minor Damage, Major Damage, Total Negligence, Repeat Job/Warranty Claim, Job Cancel, Sales Return (RS/CS/IS), Invoice Correction, Excess Stock, Unnecessary Leave,
Performance Grade : 95 to 100 @ A, 85 to 94 @ B, 75 to 84 @ C, 60 to 74 @ D, Below 60 @ E
Incentive Conversion - 100 Points @ Rs.1000, 200 Points @ Rs.2500, 200 Points @ Rs.4000, 500 Points @ Rs.8000,
Performance Salary - Fixed Salary, Performance Points, Incentive Conversion, Bonus, Penalties/Deductions
Approval Authority - Service Advisor, Floor In Charge, HR, Owner
Dashboard - Employee of the Month, Best Technician, Best Service Advisor, Best Parts Manager
",Centralized register for customer and internal complaints and TAT tracking.,Complaint Register Report
93. Payment Gateway Integration,None,RazorPay integration for online payments via app/web.,Payment Report
94. Camera API Integration - Session Access to customer,None,Bay-wise live camera session for customers to monitor their vehicle.,N/A
95. AI Integration,None,"Predictive analytics, automated insights, smart search, AI reminders (future phase).",N/A
96. Workshop Master & configuration setting,None,"Company Info, GST Info, Location, config settings, lunch breaks.",N/A
97. Service due/Alignment due reminder sms,Communication Templates Master,Send reminders 3 times automatically for due services.,Service Due Follow-Up Report
